# randpm
1 33 -1
2 34 1
3 35 -1
4 36 1
33 65 1
34 66 1
35 67 -1
36 68 1
65 97 1
66 98 1
67 99 1
68 100 -1
1 5 -1
2 5 -1
3 5 -1
4 5 1
1 6 -1
2 6 -1
3 6 -1
4 6 1
1 7 1
2 7 -1
3 7 1
4 7 -1
1 8 -1
2 8 1
3 8 1
4 8 1
33 37 1
34 37 -1
35 37 1
36 37 -1
33 38 1
34 38 1
35 38 1
36 38 1
33 39 1
34 39 -1
35 39 -1
36 39 -1
33 40 -1
34 40 -1
35 40 1
36 40 -1
65 69 1
66 69 -1
67 69 -1
68 69 -1
65 70 1
66 70 1
67 70 -1
68 70 -1
65 71 -1
66 71 1
67 71 1
68 71 -1
65 72 1
66 72 1
67 72 -1
68 72 -1
97 101 1
98 101 1
99 101 1
100 101 1
97 102 -1
98 102 1
99 102 -1
100 102 -1
97 103 1
98 103 1
99 103 1
100 103 1
97 104 -1
98 104 1
99 104 -1
100 104 -1
5 13 -1
6 14 1
7 15 1
8 16 1
37 45 -1
38 46 -1
39 47 1
40 48 1
69 77 -1
70 78 -1
71 79 -1
72 80 -1
101 109 1
102 110 1
103 111 1
104 112 -1
9 41 1
10 42 1
11 43 1
12 44 1
41 73 1
42 74 1
43 75 -1
44 76 1
73 105 -1
74 106 1
75 107 1
76 108 -1
9 13 1
10 13 -1
11 13 -1
12 13 1
9 14 -1
10 14 -1
11 14 1
12 14 1
9 15 1
10 15 -1
11 15 1
12 15 -1
9 16 -1
10 16 1
11 16 -1
12 16 -1
41 45 1
42 45 -1
43 45 -1
44 45 -1
41 46 1
42 46 -1
43 46 1
44 46 -1
41 47 1
42 47 -1
43 47 -1
44 47 1
41 48 1
42 48 1
43 48 1
44 48 -1
73 77 1
74 77 -1
75 77 -1
76 77 -1
73 78 1
74 78 1
75 78 -1
76 78 1
73 79 1
74 79 -1
75 79 -1
76 79 1
73 80 -1
74 80 -1
75 80 1
76 80 -1
105 109 -1
106 109 1
107 109 1
108 109 -1
105 110 -1
106 110 -1
107 110 1
108 110 -1
105 111 1
106 111 -1
107 111 1
108 111 1
105 112 1
106 112 -1
107 112 1
108 112 1
13 21 1
14 22 -1
15 23 -1
16 24 -1
45 53 1
46 54 1
47 55 -1
48 56 1
77 85 1
78 86 -1
79 87 1
80 88 -1
109 117 1
110 118 1
111 119 1
112 120 1
17 49 -1
18 50 1
19 51 -1
20 52 1
49 81 1
50 82 -1
51 83 -1
52 84 -1
81 113 -1
82 114 -1
83 115 1
84 116 -1
17 21 1
18 21 -1
19 21 -1
20 21 -1
17 22 -1
18 22 1
19 22 1
20 22 1
17 23 1
18 23 1
19 23 -1
20 23 -1
17 24 1
18 24 1
19 24 1
20 24 1
49 53 1
50 53 -1
51 53 -1
52 53 1
49 54 1
50 54 -1
51 54 1
52 54 1
49 55 1
50 55 -1
51 55 1
52 55 1
49 56 1
50 56 -1
51 56 1
52 56 -1
81 85 1
82 85 -1
83 85 -1
84 85 -1
81 86 1
82 86 -1
83 86 -1
84 86 1
81 87 1
82 87 1
83 87 1
84 87 -1
81 88 1
82 88 -1
83 88 1
84 88 1
113 117 1
114 117 1
115 117 1
116 117 1
113 118 1
114 118 1
115 118 -1
116 118 -1
113 119 -1
114 119 -1
115 119 1
116 119 1
113 120 -1
114 120 -1
115 120 -1
116 120 -1
21 29 -1
22 30 -1
23 31 -1
24 32 1
53 61 -1
54 62 1
55 63 -1
56 64 1
85 93 1
86 94 1
87 95 1
88 96 -1
117 125 1
118 126 -1
119 127 1
120 128 -1
25 57 1
26 58 -1
27 59 -1
28 60 -1
57 89 1
58 90 1
59 91 1
60 92 -1
89 121 -1
90 122 1
91 123 -1
92 124 -1
25 29 -1
26 29 -1
27 29 -1
28 29 -1
25 30 -1
26 30 -1
27 30 -1
28 30 -1
25 31 1
26 31 1
27 31 -1
28 31 1
25 32 -1
26 32 1
27 32 1
28 32 1
57 61 1
58 61 -1
59 61 -1
60 61 1
57 62 1
58 62 -1
59 62 -1
60 62 -1
57 63 -1
58 63 -1
59 63 1
60 63 1
57 64 1
58 64 1
59 64 -1
60 64 1
89 93 1
90 93 1
91 93 -1
92 93 -1
89 94 -1
90 94 1
91 94 -1
92 94 1
89 95 1
90 95 1
91 95 -1
92 95 1
89 96 1
90 96 -1
91 96 -1
92 96 -1
121 125 -1
122 125 1
123 125 1
124 125 -1
121 126 -1
122 126 1
123 126 -1
124 126 -1
121 127 1
122 127 1
123 127 1
124 127 1
121 128 1
122 128 -1
123 128 -1
124 128 1
